iter	Passed	Remaining
0	136	136005
1	137	68568
2	138	46042
3	139	34754
4	140	27967
5	141	23434
6	142	20192
7	143	17766
8	144	15874
9	145	14359
10	145	13112
11	146	12070
12	147	11183
13	147	10421
14	148	9758
15	149	9177
16	149	8665
17	150	8209
18	151	7801
19	151	7434
20	152	7103
21	152	6801
22	153	6524
23	154	6271
24	154	6038
25	155	5824
26	156	5624
27	156	5439
28	157	5266
29	157	5105
30	158	4954
31	159	4812
32	159	4681
33	160	4556
34	160	4438
35	161	4327
36	162	4221
37	162	4121
38	163	4026
39	164	3936
40	164	3850
41	165	3769
42	165	3692
43	166	3617
44	167	3546
45	167	3478
46	168	3413
47	168	3351
48	169	3292
49	170	3235
50	170	3179
51	171	3126
52	172	3075
53	172	3026
54	173	2979
55	174	2933
56	174	2889
57	175	2846
58	175	2805
59	176	2764
60	177	2725
61	177	2688
62	178	2651
63	178	2616
64	179	2582
65	180	2549
66	180	2516
67	181	2481
68	181	2451
69	182	2422
70	182	2393
71	183	2365
72	184	2338
73	184	2312
74	185	2286
75	185	2261
76	186	2236
77	187	2213
78	188	2192
79	188	2171
80	189	2149
81	190	2128
82	190	2107
83	191	2087
84	191	2064
85	192	2045
86	192	2023
87	193	2005
88	194	1986
89	194	1968
90	195	1951
91	195	1933
92	196	1917
93	197	1900
94	197	1884
95	198	1868
96	198	1852
97	199	1837
98	200	1822
99	200	1807
100	201	1794
101	201	1778
102	202	1764
103	203	1750
104	203	1737
105	204	1724
106	205	1711
107	205	1698
108	206	1685
109	206	1673
110	207	1661
111	208	1649
112	208	1637
113	209	1626
114	209	1614
115	210	1602
116	210	1591
117	211	1581
118	212	1569
119	212	1559
120	213	1549
121	213	1538
122	214	1527
123	214	1517
124	215	1507
125	216	1498
126	216	1489
127	217	1478
128	217	1469
129	218	1461
130	218	1452
131	219	1443
132	220	1435
133	220	1426
134	221	1418
135	222	1410
136	222	1402
137	223	1393
138	223	1385
139	224	1378
140	224	1370
141	225	1362
142	226	1354
143	226	1347
144	227	1340
145	227	1333
146	228	1326
147	229	1319
148	229	1313
149	230	1306
150	231	1300
151	231	1293
152	232	1286
153	233	1280
154	233	1274
155	234	1267
156	234	1261
157	235	1255
158	236	1249
159	236	1243
160	237	1237
161	237	1231
162	238	1225
163	239	1219
164	239	1213
165	240	1208
166	241	1202
167	241	1196
168	242	1191
169	242	1186
170	243	1181
171	244	1175
172	244	1170
173	245	1165
174	246	1160
175	246	1155
176	247	1150
177	247	1145
178	248	1140
179	249	1135
180	249	1128
181	250	1123
182	250	1119
183	251	1114
184	251	1109
185	252	1105
186	253	1100
187	253	1095
188	254	1091
189	254	1086
190	255	1082
191	256	1077
192	256	1073
193	257	1069
194	258	1065
195	258	1061
196	259	1057
197	259	1053
198	260	1048
199	261	1044
200	261	1040
201	262	1036
202	263	1032
203	263	1028
204	264	1024
205	264	1020
206	265	1016
207	265	1012
208	266	1008
209	267	1005
210	267	1001
211	268	997
212	268	993
213	269	990
214	270	986
215	270	983
216	271	979
217	272	976
218	272	972
219	273	969
220	274	965
221	274	962
222	275	958
223	275	955
224	276	952
225	277	948
226	277	945
227	278	942
228	278	938
229	279	935
230	280	932
231	280	929
232	281	925
233	281	922
234	282	919
235	283	916
236	283	913
237	284	910
238	285	907
239	285	904
240	286	901
241	286	898
242	287	896
243	288	893
244	288	890
245	289	887
246	290	884
247	290	881
248	291	879
249	292	876
250	292	873
251	293	870
252	294	868
253	294	865
254	295	862
255	295	860
256	296	857
257	297	855
258	297	852
259	298	849
260	299	847
261	299	844
262	300	842
263	301	839
264	301	836
265	302	834
266	303	831
267	303	829
268	304	826
269	304	824
270	305	821
271	306	819
272	306	816
273	307	814
274	307	811
275	308	809
276	309	806
277	309	804
278	310	802
279	311	799
280	311	797
281	312	795
282	312	792
283	313	790
284	314	788
285	314	786
286	315	784
287	316	781
288	316	779
289	317	777
290	318	775
291	318	772
292	319	770
293	319	768
294	320	766
295	321	763
296	321	761
297	322	759
298	323	757
299	323	755
300	324	752
301	324	750
302	325	748
303	326	746
304	326	744
305	327	742
306	327	740
307	328	738
308	329	736
309	329	734
310	330	732
311	331	730
312	331	727
313	332	725
314	332	723
315	333	721
316	334	719
317	334	717
318	335	715
319	335	713
320	336	711
321	337	709
322	337	707
323	338	705
324	338	703
325	339	701
326	340	699
327	340	698
328	341	696
329	342	694
330	342	692
331	343	690
332	343	688
333	344	686
334	345	685
335	345	683
336	346	681
337	346	679
338	347	677
339	348	675
340	348	674
341	349	672
342	350	670
343	350	668
344	351	666
345	351	665
346	352	663
347	353	661
348	353	659
349	354	658
350	355	656
351	355	654
352	356	652
353	356	651
354	357	649
355	358	647
356	358	646
357	359	644
358	359	642
359	360	640
360	361	639
361	361	637
362	362	635
363	362	634
364	363	632
365	364	630
366	364	629
367	365	627
368	366	626
369	366	624
370	367	622
371	367	621
372	368	619
373	369	618
374	370	617
375	370	615
376	371	613
377	372	612
378	372	610
379	373	609
380	373	607
381	374	605
382	375	604
383	375	602
384	376	601
385	377	599
386	377	598
387	378	596
388	378	595
389	379	593
390	380	592
391	380	590
392	381	589
393	382	587
394	382	586
395	383	584
396	383	583
397	384	581
398	385	580
399	385	578
400	386	577
401	387	575
402	387	574
403	388	572
404	389	571
405	389	570
406	390	568
407	390	567
408	391	565
409	392	564
410	392	562
411	393	561
412	393	559
413	394	558
414	395	557
415	396	556
416	396	554
417	397	553
418	398	552
419	398	550
420	399	549
421	400	548
422	400	546
423	401	545
424	402	544
425	402	542
426	403	541
427	404	539
428	404	538
429	405	537
430	405	535
431	406	534
432	407	533
433	407	531
434	408	530
435	409	529
436	409	527
437	410	526
438	411	525
439	411	524
440	412	522
441	413	521
442	413	520
443	414	519
444	415	517
445	415	516
446	416	515
447	417	513
448	417	512
449	418	511
450	419	510
451	419	508
452	420	507
453	421	506
454	421	505
455	422	503
456	422	502
457	423	501
458	424	499
459	424	498
460	425	497
461	425	496
462	426	494
463	427	493
464	427	492
465	428	491
466	429	489
467	429	488
468	430	487
469	430	485
470	431	484
471	432	483
472	432	482
473	433	480
474	434	479
475	434	478
476	435	477
477	435	476
478	436	474
479	437	473
480	437	472
481	438	471
482	439	469
483	439	468
484	440	467
485	440	466
486	441	465
487	442	463
488	442	462
489	443	461
490	444	460
491	444	459
492	445	457
493	445	456
494	446	455
495	447	454
496	447	453
497	448	452
498	449	450
499	449	449
500	450	448
501	451	447
502	451	446
503	452	445
504	452	443
505	453	442
506	454	441
507	454	440
508	455	439
509	456	438
510	456	437
511	457	435
512	458	434
513	458	433
514	459	432
515	459	431
516	460	430
517	461	429
518	461	427
519	462	426
520	463	425
521	463	424
522	464	423
523	464	422
524	465	421
525	466	420
526	466	419
527	467	417
528	468	416
529	468	415
530	469	414
531	469	413
532	470	412
533	471	411
534	471	410
535	472	409
536	473	407
537	473	406
538	474	405
539	475	404
540	475	403
541	476	402
542	476	401
543	477	400
544	478	399
545	478	397
546	479	396
547	479	395
548	480	394
549	481	393
550	481	392
551	482	391
552	482	390
553	483	389
554	484	388
555	484	387
556	485	386
557	486	385
558	486	384
559	487	382
560	487	381
561	488	380
562	489	379
563	489	378
564	490	377
565	491	376
566	491	375
567	492	374
568	493	373
569	493	372
570	494	371
571	495	370
572	495	369
573	496	368
574	497	367
575	497	366
576	498	365
577	498	364
578	499	363
579	500	362
580	500	361
581	501	360
582	502	359
583	502	358
584	503	357
585	503	355
586	504	354
587	505	353
588	505	352
589	506	351
590	506	350
591	507	349
592	508	348
593	508	347
594	509	346
595	510	345
596	510	344
597	511	343
598	512	343
599	513	342
600	513	341
601	514	340
602	515	339
603	515	338
604	516	337
605	517	336
606	518	335
607	518	334
608	519	333
609	520	332
610	521	331
611	521	330
612	522	330
613	523	329
614	524	328
615	524	327
616	525	326
617	526	325
618	527	324
619	527	323
620	528	322
621	528	321
622	529	320
623	530	319
624	530	318
625	531	317
626	532	316
627	532	315
628	533	314
629	533	313
630	534	312
631	535	311
632	535	310
633	536	309
634	537	308
635	537	307
636	538	306
637	539	305
638	539	304
639	540	304
640	541	303
641	541	302
642	542	301
643	543	300
644	543	299
645	544	298
646	545	297
647	545	296
648	546	295
649	547	294
650	547	293
651	548	292
652	549	291
653	549	290
654	550	290
655	551	289
656	552	288
657	552	287
658	553	286
659	553	285
660	554	284
661	555	283
662	555	282
663	556	281
664	557	280
665	557	279
666	558	278
667	559	277
668	559	277
669	560	276
670	561	275
671	561	274
672	562	273
673	563	272
674	563	271
675	564	270
676	565	269
677	565	268
678	566	267
679	566	266
680	567	265
681	568	264
682	568	263
683	569	263
684	569	262
685	570	261
686	571	260
687	571	259
688	572	258
689	573	257
690	573	256
691	574	255
692	575	254
693	575	253
694	576	252
695	576	251
696	577	251
697	578	250
698	578	249
699	579	248
700	580	247
701	580	246
702	581	245
703	581	244
704	582	243
705	583	242
706	584	242
707	584	241
708	585	240
709	585	239
710	586	238
711	587	237
712	587	236
713	588	235
714	589	234
715	589	233
716	590	232
717	590	232
718	591	231
719	592	230
720	592	229
721	593	228
722	594	227
723	594	226
724	595	225
725	595	224
726	596	223
727	597	223
728	597	222
729	598	221
730	599	220
731	599	219
732	600	218
733	601	217
734	601	216
735	602	216
736	602	215
737	603	214
738	604	213
739	604	212
740	605	211
741	606	210
742	606	209
743	607	209
744	608	208
745	608	207
746	609	206
747	610	205
748	610	204
749	611	203
750	611	202
751	612	202
752	613	201
753	613	200
754	614	199
755	615	198
756	615	197
757	616	196
758	616	195
759	617	195
760	618	194
761	619	193
762	619	192
763	620	191
764	620	190
765	621	189
766	622	189
767	622	188
768	623	187
769	624	186
770	624	185
771	625	184
772	625	183
773	626	182
774	627	182
775	627	181
776	628	180
777	629	179
778	629	178
779	630	177
780	631	176
781	631	176
782	632	175
783	633	174
784	633	173
785	634	172
786	635	171
787	636	171
788	636	170
789	637	169
790	638	168
791	638	167
792	639	166
793	640	166
794	640	165
795	641	164
796	642	163
797	642	162
798	643	161
799	644	161
800	644	160
801	645	159
802	645	158
803	646	157
804	647	156
805	647	155
806	648	155
807	649	154
808	649	153
809	650	152
810	651	151
811	651	150
812	652	150
813	652	149
814	653	148
815	654	147
816	654	146
817	655	145
818	655	144
819	656	144
820	657	143
821	658	142
822	658	141
823	659	140
824	659	139
825	660	139
826	661	138
827	661	137
828	662	136
829	663	135
830	663	134
831	664	134
832	664	133
833	665	132
834	666	131
835	666	130
836	667	129
837	668	129
838	668	128
839	669	127
840	669	126
841	670	125
842	671	125
843	671	124
844	672	123
845	673	122
846	673	121
847	674	120
848	675	120
849	675	119
850	676	118
851	677	117
852	677	116
853	678	115
854	679	115
855	679	114
856	680	113
857	680	112
858	681	111
859	682	111
860	682	110
861	683	109
862	684	108
863	684	107
864	685	106
865	685	106
866	686	105
867	687	104
868	687	103
869	688	102
870	688	102
871	689	101
872	690	100
873	690	99
874	691	98
875	692	97
876	692	97
877	693	96
878	694	95
879	694	94
880	695	93
881	695	93
882	696	92
883	697	91
884	697	90
885	698	89
886	699	89
887	699	88
888	700	87
889	700	86
890	701	85
891	702	85
892	703	84
893	703	83
894	704	82
895	704	81
896	705	81
897	706	80
898	706	79
899	707	78
900	708	77
901	708	77
902	709	76
903	710	75
904	710	74
905	711	73
906	712	73
907	712	72
908	713	71
909	713	70
910	714	69
911	715	69
912	715	68
913	716	67
914	716	66
915	717	65
916	718	65
917	718	64
918	719	63
919	720	62
920	720	61
921	721	61
922	722	60
923	722	59
924	723	58
925	723	57
926	724	57
927	725	56
928	725	55
929	726	54
930	726	53
931	727	53
932	728	52
933	728	51
934	729	50
935	730	49
936	730	49
937	731	48
938	731	47
939	732	46
940	733	45
941	733	45
942	734	44
943	734	43
944	735	42
945	736	42
946	736	41
947	737	40
948	738	39
949	738	38
950	739	38
951	739	37
952	740	36
953	741	35
954	741	34
955	742	34
956	743	33
957	743	32
958	744	31
959	744	31
960	745	30
961	746	29
962	746	28
963	747	27
964	747	27
965	748	26
966	749	25
967	749	24
968	750	24
969	751	23
970	751	22
971	752	21
972	752	20
973	753	20
974	754	19
975	754	18
976	755	17
977	756	17
978	756	16
979	757	15
980	757	14
981	758	13
982	759	13
983	759	12
984	760	11
985	761	10
986	761	10
987	762	9
988	762	8
989	763	7
990	764	6
991	765	6
992	765	5
993	766	4
994	767	3
995	767	3
996	768	2
997	769	1
998	769	0
999	770	0
